355,Albania (+355),Albania
213,Algeria (+213),Algeria
684,American Samoa (+684),American Samoa
376,Andorra (+376),Andorra
244,Angola (+244),Angola
54,Argentina (+54),Argentina
374,Armenia (+374),Armenia
297,Aruba (+297),Aruba
247,Ascension (+247),Ascension
61,Australia (+61),Australia
43,Austria (+43),Austria
7,Azerbaidjan (+7),Azerbaidjan
1,Bahamas (+1),Bahamas
973,Bahrain (+973),Bahrain
880,Bangladesh (+880),Bangladesh
1,Barbados (+1),Barbados
375,Belarus (+375),Belarus
32,Belgium (+32),Belgium
501,Belize (+501),Belize
229,Benin (+229),Benin
1,Bermuda (+1),Bermuda
975,Bhutan (+975),Bhutan
591,Bolivia (+591),Bolivia
387,Bosnia & Herzegovina (+387),Bosnia & Herzegovina
267,Botswana (+267),Botswana
55,Brazil (+55),Brazil
673,Brunei (+673),Brunei
359,Bulgaria (+359),Bulgaria
226,Burkina Faso (+226),Burkina Faso
257,Burundi (+257),Burundi
855,Cambodia (+855),Cambodia
237,Cameroon (+237),Cameroon
1,Canada (+1),Canada
56,Chile (+56),Chile
86,China (+86),China
57,Colombia (+57),Colombia
269,Comoros (+269),Comoros
506,Costa Rica (+506),Costa Rica
225,Cote d'lvoire (+225),Cote d'lvoire
385,Croatia (+385),Croatia
53,CUba (+53),CUba
357,Cyprus (+357),Cyprus
420,Czech (+420),Czech
45,Denmark (+45),Denmark
246,Diego Garcia (+246),Diego Garcia
253,Djibouti (+253),Djibouti
1,Dominica (+1),Dominica
1,Dominican Rep. (+1),Dominican Rep.
593,Ecuador (+593),Ecuador
20,Egypt (+20),Egypt
503,El Salvador (+503),El Salvador
372,Estonia (+372),Estonia
251,Ethiopia (+251),Ethiopia
679,Fiji (+679),Fiji
358,Finland (+358),Finland
33,France (+33),France
241,Gabon (+241),Gabon
220,Gambia (+220),Gambia
995,Georgia (+995),Georgia
49,Germany (+49),Germany
233,Ghana (+233),Ghana
350,Gibraltar (+350),Gibraltar
30,Greece (+30),Greece
299,Greenland (+299),Greenland
1,Grenada (+1),Grenada
590,Guadeloupe (+590),Guadeloupe
1,Guam (+1),Guam
502,Guatemala (+502),Guatemala
224,Guinea (+224),Guinea
592,Guyana (+592),Guyana
509,Haiti (+509),Haiti
1,Hawaii (+1),Hawaii
504,Honduras (+504),Honduras
852,Hong Kong (+852),Hong Kong
36,Hungary (+36),Hungary
354,Iceland (+354),Iceland
91,India (+91),India
62,Indonesia (+62),Indonesia
98,Iran (+98),Iran
964,Iraq (+964),Iraq
353,Ireland (+353),Ireland
972,Israel (+972),Israel
39,Italy (+39),Italy
1,Jamaica (+1),Jamaica
81,Japan (+81),Japan
962,Jordan (+962),Jordan
7,Kazakhstan (+7),Kazakhstan
254,kenya (+254),kenya
686,Kiribati (+686),Kiribati
82,Korea(Rep. of) (+82),Korea(Rep. of)
965,Kuwait (+965),Kuwait
996,Kyrgyz.Rep (+996),Kyrgyz.Rep
856,Laos (+856),Laos
371,Latvia (+371),Latvia
961,Lebanon (+961),Lebanon
231,Liberia (+231),Liberia
218,Libya (+218),Libya
370,Lithuania (+370),Lithuania
352,Luxembourg (+352),Luxembourg
853,Macao (+853),Macao
265,Malawi (+265),Malawi
60,Malaysia (+60),Malaysia
960,Maldives (+960),Maldives
596,Martinique (+596),Martinique
222,Mauritania (+222),Mauritania
230,Mauritius (+230),Mauritius
52,Mexico (+52),Mexico
691,Micronesia (+691),Micronesia
377,Monaco (+377),Monaco
976,Mongolia (+976),Mongolia
212,Morocco (+212),Morocco
258,Mozambique (+258),Mozambique
95,Myanmar (+95),Myanmar
264,Namibia (+264),Namibia
674,Nauru (+674),Nauru
977,Nepal (+977),Nepal
31,Netherlands (+31),Netherlands
687,New Caledonia (+687),New Caledonia
64,New Zealand (+64),New Zealand
505,Nicaragua (+505),Nicaragua
227,Niger (+227),Niger
234,Nigeria (+234),Nigeria
683,Niue (+683),Niue
47,Norway (+47),Norway
968,Oman (+968),Oman
92,Pakistan (+92),Pakistan
680,Palau (+680),Palau
507,Panama (+507),Panama
675,Papua New Guinea (+675),Papua New Guinea
595,Paraguay (+595),Paraguay
51,Peru (+51),Peru
63,Philippines (+63),Philippines
48,Poland (+48),Poland
351,Portugal (+351),Portugal
1,Puerto Rico (+1),Puerto Rico
974,Qatar (+974),Qatar
